Sport,History,Images_url
3X3 BASKETBALL,"What is 3x3 basketball?
3x3 basketball is an exciting, urban and innovative variation of basketball played with three players on each team on a half-court setup with one hoop and backboard. It is widely held to be the world’s number one urban team sport.

By whom, where and when was 3x3 basketball invented?
3x3 basketball was developed as a creative variation of traditional full-court basketball.

The sport has its origins in the urban areas of the United States of America in the late 1980s where the condensed form of basketball was often practiced in backyards and parks before eventually evolving into a cultural phenomenon.",https://th.bing.com/th/id/OIP.7wkwrj2cE8dm0DwSFHL9HwHaFj?pid=ImgDet&w=207&h=155&c=7&dpr=1.3
ACROBATIC GYMNASTICS,"Acrobatic gymnastics has existed in various forms and throughout different cultures for thousands of years. Depictions of acrobatics have been discovered in Bronze Age art, along with being mentioned in Homer’s epics and included in Ancient Greek symposiums and China’s Han Dynasty harvest festivals. It also served as entertainment for European courts during the Middle Ages.

Becoming a Discipline
Acrobatic gymnastics began to develop as a discipline through use of apparatus and through tumbling. Both aspects showcased the human body’s capabilities. The first competition rules for acrobatics were formed in the Soviet Union, where stadiums filled with spectators hoping to witness athletic feats, like forming giant human pyramids. The inaugural Soviet national championships were held in 1939.

Global Evolution
The first international tournament for what was then named “Sport Acrobatics” was held in Warsaw in 1957, with four participating teams. The International Federation of Sports Acrobatics (IFSA) was established in 1973, with the first world championships held the following year in Moscow, featuring teams from Bulgaria, Federal Republic of Germany, Great Britain, Hungary, Poland, the Soviet Union and the United States. In 1998, the discipline was adopted by the International Gymnastics Federation once IFSA dissolved. The discipline has been known as Acrobatic Gymnastics since 2007.
",https://th.bing.com/th/id/OIP.gMqMDS5x5eUoihRnqsb40wHaI4?w=122&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
ALPINE SKIING,"Alpine Skiing
Skiing has an ancient history. The birth of modern downhill skiing is often dated to the 1850s, when Norwegian legend Sondre Norheim popularised skis with curved sides, bindings with stiff heel bands made of willow, as well as the Telemark and Christiania (slalom) turns.

Ancient Origins
Skiing can be traced to prehistoric times by the discovery of varying sizes and shapes of wooden planks preserved in peat bogs in Russia, Finland, Sweden and Norway. Ski fragments discovered in Russia have been carbon-dated back to circa 8000-7000 BC. It is virtually certain that a form of skiing has been an integral part of life in colder countries for thousands of years.

First Competitions
Skiing changed from a method of transportation into a sporting activity during the late 19th century. The first non-military skiing competitions are reported to have been held in the 1840s in northern and central Norway. The first national skiing competition in Norway, held in the capital Christiania (now Oslo) and won by Sondre Norheim, in 1868, is regarded as the beginning of a new era of skiing enthusiasm. A few decades later, the sport spread to the remainder of Europe and to the U.S., where miners held skiing competitions to entertain themselves during the winter. The first slalom competition was organised by Sir Arnold Lunn in 1922 in Mürren, Switzerland.",https://th.bing.com/th/id/OIP.eu6U1YsUTG8NHMZM5bIFVAHaEo?w=277&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
ARCHERY,"What is archery?
Archery is one of the oldest sports still practised, and is closely linked to the development of civilisation. Using bows and arrows, the sport as a history dating back thousands of years. As a cultural advance, it was comparable to the discovery of fire and the invention of the wheel.

By whom, where and when was archery invented?
Archery was the favourite sport of the Egyptian pharaohs during the 18th dynasty (1567-1320 BC). Many centuries later, some of the earliest recorded archery tournaments took place during the Zhou dynasty (1046 - 256 BC) in China. Such events were attended by Chinese nobility. Much later, English writers honoured the longbow for famous contributions to their country’s victories in the battles of Crécy, Agincourt and Poitiers.

In 1200 BC, the Hittites and Assyrians shot their bows from chariots, becoming fearsome opponents in battle. They made their bows with tendon, horn and wood, and also developed a new re-curved shape. This made their bows shorter and more powerful, making them easier to handle for an archer on horseback.",https://th.bing.com/th/id/OIP.oV9t6d53MWnzBMfWh5klAwHaE8?pid=ImgDet&w=189&h=126&c=7&dpr=1.3
ARTISTIC GYMNASTICS,"What is Artistic Gymnastics?
Introduced in 1894, artistic gymnastics was one of the original disciplines in the modern Olympic Games. Artistic gymnasts are challenged to perfect their skills across a range of equipment, such as the beam and performing on the floor.

By whom, where and when was Artistic Gymnastics invented?
Plato, Aristotle, and Homer heartily advocated the strengthening qualities of gymnastic activity. The Ancient Greek civilisation more than two thousand years ago believed symmetry between the mind and body was possible only when physical exercise was coupled with intellectual activity.

The term ""artistic gymnastics"" emerged in the early 1800s to distinguish free-flowing styles from techniques used in military training. Gymnastic competitions began to flourish in schools and athletic clubs across Europe, and made a fitting return at the first edition of the modern Olympic Games were revived in Athens in 1896.
",https://i.pinimg.com/736x/51/d3/e0/51d3e0499b345c52d13266222378b643.jpg
ARTISTIC SWIMMING,"What is Artistic Swimming?
Artistic swimming, formerly known as synchronised swimming, is a relatively new discipline with its origins in water acrobatics.

By whom, where and when was Artistic Swimming invented?
Originally known as water ballet, the pastime was first practised in the late 19th century with the first recorded competition held in the German capital Berlin in 1891.

At the start of the 20th century, Australian swimmer Annette Kellerman helped popularise the sport when she toured the United States performing water acrobatics.
",https://th.bing.com/th/id/OIP.Y05CTxTwrwhF8Cxl6Gr5PAHaE9?w=277&h=186&c=7&r=0&o=5&dpr=1.3&pid=1.7
ATHLETICS,"What is Athletics?
Athletics is a sport that includes a number of events involving running, jumping, throwing or walking. Often referred to as track & field, the sport includes single events, such as the 100m, marathon or long jump, combined events, including the decathlon and heptathlon, or team-based events such as the 4x100m relays.

By whom, where and when was athletics invented?
While athletics has been practised throughout history, the first ever event contested at the ancient Olympic Games was the “stadium” race, a sprint of about 192 metres. Winners in this event have been recorded from as far back as 776 BC.

Athletics and the Olympics
The ancient Olympic Games included a number of athletics events that sports fans today would recognise including running, long jump, shot put and javelin. By the time of the first modern Olympic Games at Athens 1896, athletics was once again one of the main features of the programme, with track events ranging from 100m to 1500m, the marathon, and field events such as long jump and pole vault. At Tokyo 2020, athletes competed in 26 events - the same number that is on the programme for Paris 2024.",https://th.bing.com/th/id/OIP.dQKWGbN9kfWPg1uAj9gI-QHaEK?w=265&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
BADMINTON,"What is Badminton?
Badminton is a racket-and-shuttle game played on a court by two players or doubles teams. The sport takes its name from Badminton House—home of the Duke of Beaufort in the English county of Gloucestershire.

By whom, where and when was Badminton invented?
In 1873, the Duke is credited with bringing a version of the game—Poona—back from India and introducing it to his guests.

The sport quickly grew in popularity, and in 1877, the first set of written rules were devised by the newly formed Bath Badminton Club. The Badminton Federation of England was created 16 years later, and in 1899, it organised the first All England Championships.
",https://th.bing.com/th/id/OIP.4eXi9QTuE3k-r2DrKJKXeQHaFN?w=244&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
BASEBALL SOFTBALL,"What is Baseball/Softball?
Baseball and softball are two related ball sports played between two teams on a diamond-shaped field.

What's the difference between Baseball and Softball?
While there are world championships for both men and women in both sports, at the Olympic level baseball has been a men's-only sport while softball has been a women's-only sport. There are differences in the number of players on each team between the two sports, the size of the field, and in some rules.

Softball pitchers are also required to throw underhand, and most pitchers throw using the windmill pitch style, where the ball is thrown after rotating in a large circle. In softball, top female pitchers can reach speeds of over 100km/h. That speed fits with the fast-paced nature of the game. Since the bases aren’t as far apart, there is a shorter pitching distance. The game is also shorter in duration to baseball, with only seven innings compared to baseball’s nine.",https://th.bing.com/th/id/OIP.sFKwzdi5MucPNLIGTsRQYwHaNK?w=115&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
BASKETBALL,"What is Basketball?
Basketball is a team sport played on a rectangular court where two opposing teams made up of five players attempt to score by throwing a ball into the opponent's hoop and net, otherwise known as a basket.

By whom, where and when was Basketball invented?
Basketball was invented in December 1891 by Canadian James W. Naismith, an instructor at the YMCA Training School in Massachusetts.

Naismith sought a suitable indoor game to keep his students fit and warm during the cold New England winters. He formulated 13 rules, most of which still apply today.",https://www.rxwallpaper.site/wp-content/uploads/cool-3d-wallpaper-hd-basketball-68-images.jpg
